Station Number,Station Name,Start Time,End Time,Precipitation,Accumulated
110200,LIMAN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110200,LIMAN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110200,LIMAN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110200,LIMAN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110200,LIMAN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110351,SAAR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110351,SAAR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110351,SAAR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110351,SAAR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110351,SAAR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110351,SAAR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110390,NAHARIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110502,EVRON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110502,EVRON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110502,EVRON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110502,EVRON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110502,EVRON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110502,EVRON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110521,SHAVEZIYYON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110552,REGBA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
110552,REGBA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00,0
110552,REGBA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00,0
110552,REGBA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00,0
110552,REGBA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00,0
110552,REGBA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00,0
110600,BETHAEMEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00,0
