Station Number,Station Name,Start Time,End Time,Precipitation
110200,LIMAN,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110200,LIMAN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110200,LIMAN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110200,LIMAN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110200,LIMAN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110200,LIMAN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110351,SAAR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110351,SAAR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110351,SAAR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110351,SAAR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110351,SAAR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110351,SAAR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110390,NAHARIYYA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110390,NAHARIYYA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110390,NAHARIYYA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110390,NAHARIYYA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110390,NAHARIYYA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110390,NAHARIYYA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110502,EVRON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110502,EVRON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110502,EVRON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110502,EVRON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110502,EVRON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110502,EVRON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110521,SHAVEZIYYON,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110552,REGBA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110552,REGBA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110552,REGBA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110552,REGBA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110552,REGBA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110552,REGBA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110600,BETHAEMEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110695,AKKOMAN,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110695,AKKOMAN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110695,AKKOMAN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110695,AKKOMAN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110695,AKKOMAN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110695,AKKOMAN,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110951,ENHAMIFRAZ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
110973,YASUR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
110973,YASUR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
110973,YASUR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
110973,YASUR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
110973,YASUR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
110973,YASUR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
111001,KEFARMASARYK,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
111040,ENAFEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
111040,ENAFEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
111040,ENAFEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
111040,ENAFEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
111040,ENAFEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
111040,ENAFEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
111145,AFEQ,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
111145,AFEQ,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
111145,AFEQ,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
111145,AFEQ,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
111145,AFEQ,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
111145,AFEQ,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
111699,USHA,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
111699,USHA,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
111699,USHA,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
111699,USHA,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
111699,USHA,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
111699,USHA,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
111800,KEFARHASIDIM,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120180,HAIFAPORT,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120180,HAIFAPORT,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120180,HAIFAPORT,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120180,HAIFAPORT,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120180,HAIFAPORT,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120180,HAIFAPORT,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120570,HAYBAR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120570,HAYBAR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120570,HAYBAR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120570,HAYBAR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120570,HAYBAR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120570,HAYBAR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120629,HAIFAUNIVERSITY,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120750,YAGUR,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120750,YAGUR,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120750,YAGUR,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120750,YAGUR,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120750,YAGUR,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120750,YAGUR,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
120770,PARKHAKARMEL,2014-10-21_07:00:00,2014-10-21_08:00:00, 0.00
120800,BETOREN,2014-10-21_02:00:00,2014-10-21_03:00:00, 0.00
120800,BETOREN,2014-10-21_03:00:00,2014-10-21_04:00:00, 0.00
120800,BETOREN,2014-10-21_04:00:00,2014-10-21_05:00:00, 0.00
120800,BETOREN,2014-10-21_05:00:00,2014-10-21_06:00:00, 0.00
120800,BETOREN,2014-10-21_06:00:00,2014-10-21_07:00:00, 0.00
